city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
wellington,wellington,new zealand,-41.28664,174.77557,381900,,3371,wellington-lower hutt-porirua wellington msa
piedecuesta,santander,colombia,6.98789,-73.04953,86387,,3864,bucaramanga-floridablanca-giron santander msa
bessemer,alabama,united states,33.40178,-86.95444,26730,Birmingham-Hoover AL MSA,629,birmingham-hoover alabama msa
uberaba,minas gerais,brazil,-19.74833,-47.93194,260843,,7647,uberaba minas gerais msa
oldenzaal,overijssel,netherlands,52.31333,6.92917,31410,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
montes claros,minas gerais,brazil,-16.735,-43.86167,332379,,7648,montes claros minas gerais msa
gilroy,california,united states,37.00578,-121.56828,53231,San Jose-Sunnyvale-Santa Clara CA MSA,7649,gilroy california msa
bethesda,maryland,united states,38.98067,-77.10026,60858,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,0,new york city-brooklyn-queens new york msa
veles,veles,north macedonia,41.71556,21.77556,57873,,7650,veles veles msa
santiago de compostela,galicia,spain,42.88052,-8.54569,95092,,2498,santiago de compostela galicia msa
quito,pichincha,ecuador,-0.22985,-78.52495,1399814,,4947,quito pichincha msa
media,pennsylvania,united states,39.91678,-75.38769,5363,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,0,new york city-brooklyn-queens new york msa
kathmandu,bagmati province,nepal,27.70169,85.3206,1442271,,7651,kathmandu bagmati province msa
maitland,florida,united states,28.62778,-81.36312,17463,Orlando-Kissimmee FL MSA,1412,orlando-deltona-kissimmee florida msa
balikesir,balikesir,turkey,39.6511,27.8842,331788,,7652,balıkesir-balikesir balıkesir-balikesir msa
tonbridge,england,united kingdom,51.19532,0.27363,38657,,18,london-manchester-birstall england-manchester-leicester msa
grandville,michigan,united states,42.90975,-85.76309,15953,Grand Rapids-Wyoming MI MSA,513,grand rapids-wyoming-kentwood michigan msa
pesaro,the marches,italy,43.90921,12.9164,77241,,764,pesaro the marches msa
concord,new hampshire,united states,43.20814,-71.53757,42620,NH NONMETROPOLITAN AREA,79,boston-south boston-worcester massachusetts msa
porto velho,rondonia,brazil,-8.76194,-63.90389,306180,,7654,porto velho rondonia msa
mason,michigan,united states,42.5792,-84.44358,8427,Lansing-East Lansing MI MSA,1612,lansing michigan msa
holtsville,new york,united states,40.81538,-73.04511,19714,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
genoa,liguria,italy,44.40478,8.94439,580223,,7655,genoa liguria msa
skien,vestfold og telemark,norway,59.20962,9.60897,50595,,7049,skien vestfold og telemark msa
walled lake,michigan,united states,42.53781,-83.48105,7110,Detroit-Warren-Livonia MI MSA,157,detroit-windsor-warren michigan-ontario msa
paramount,california,united states,33.88946,-118.15979,55412,Los Angeles-Long Beach-Santa Ana CA MSA,133,los angeles-long beach-anaheim california msa
homagama,western,sri lanka,6.844,80.0024,34664,,451,colombo-dehiwala mount lavinia-maharagama western msa
sundbyberg,stockholm,sweden,59.36128,17.97114,34529,,56,stockholm-uppsala-sollentuna stockholm-uppsala msa
monticello,minnesota,united states,45.30552,-93.79414,13299,Minneapolis-St. Paul-Bloomington MN-WI MSA,199,minneapolis-st paul-saint paul minnesota msa
north branford,connecticut,united states,41.3276,-72.76732,14454,New Haven-Milford CT MSA,0,new york city-brooklyn-queens new york msa
north hollywood,california,united states,34.17223,-118.37897,77848,Los Angeles-Long Beach-Santa Ana CA MSA,133,los angeles-long beach-anaheim california msa
fremont,california,united states,37.54827,-121.98857,232206,San Francisco-Oakland-Fremont CA MSA,264,san jose-san francisco-oakland california msa
novara,piedmont,italy,45.44694,8.62118,93295,,22,milan-verona-padova lombardy-veneto msa
ganganagar,rajasthan,india,29.92009,73.87496,231838,,7657,ganganagar rajasthan msa
pembroke pines,florida,united states,26.00315,-80.22394,166611,Miami-Fort Lauderdale-Pompano Beach FL MSA,817,miami-hialeah-fort lauderdale florida msa
tultitlan de mariano escobedo,mexico,mexico,19.64655,-99.16787,28017,,376,estado de mexico-mexico city-iztapalapa mexico-mexico city msa
lawrence,kansas,united states,38.97167,-95.23525,93917,Boston-Cambridge-Quincy MA-NH MSA,7658,lawrence kansas msa
widnes,england,united kingdom,53.3618,-2.73406,61464,,18,london-manchester-birstall england-manchester-leicester msa
vancouver,british columbia,canada,49.24966,-123.11934,600000,,1570,vancouver-surrey-burnaby british columbia msa
taubate,sao paulo,brazil,-23.02639,-45.55528,251641,,789,taubate-pindamonhangaba sao paulo msa
bern,bern,switzerland,46.94809,7.44744,121631,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
durham,north carolina,united states,35.99403,-78.89862,257636,Durham NC MSA,7659,durham north carolina msa
montpellier,occitanie,france,43.61093,3.87635,248252,,303,montpellier-nimes-avignon occitanie-provence alpes cote d azur msa
cape town,western cape,south africa,-33.92584,18.42322,3433441,,461,cape town-kraaifontein western cape msa
amsterdam,north holland,netherlands,52.37403,4.88969,741636,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
denver,colorado,united states,39.73915,-104.9847,715522,Denver-Aurora CO MSA,575,denver-aurora-lakewood colorado msa
cincinnati,ohio,united states,39.12711,-84.51439,296943,Cincinnati-Middletown OH-KY-IN MSA,153,cincinnati-dayton-hamilton ohio msa
toulouse,occitanie,france,43.60426,1.44367,433055,,1239,toulouse-montauban occitanie msa
avondale,arizona,united states,33.4356,-112.3496,80684,Phoenix-Mesa-Scottsdale AZ MSA,612,phoenix-mesa-chandler arizona msa
valdivia,los rios,chile,-39.8142,-73.2459,150048,,6941,valdivia-valdivia los rios-los rios region msa
doncaster,england,united kingdom,53.52285,-1.13116,158141,,18,london-manchester-birstall england-manchester-leicester msa
indaiatuba,sao paulo,brazil,-23.08842,-47.2119,179911,,2256,indaiatuba-itu-salto sao paulo msa
brentwood,tennessee,united states,36.03312,-86.78278,41763,Nashville-Davidson-Murfreesboro-Franklin TN MSA,3146,nashville-franklin tennessee msa
notre dame,indiana,united states,41.70019,-86.23793,5973,South Bend-Mishawaka IN-MI MSA,2397,south bend-elkhart indiana msa
rostov na donu,rostov,russia,47.23135,39.72328,1074482,,4196,rostov-rostov na donu rostovskaya oblast-rostov msa
springdale,arkansas,united states,36.18674,-94.12881,77859,Fayetteville-Springdale-Rogers AR-MO MSA,2071,fayetteville-springdale-rogers arkansas msa
naperville,illinois,united states,41.78586,-88.14729,147100,Chicago-Naperville-Joliet IL-IN-WI MSA,295,chicago-milwaukee-aurora illinois-wisconsin msa
muscat,muscat,oman,23.58413,58.40778,797000,,1002,muscat-bawshar muscat msa
barnstable,massachusetts,united states,41.70011,-70.29947,47821,Barnstable Town MA MSA,79,boston-south boston-worcester massachusetts msa
beloit,wisconsin,united states,42.50835,-89.03178,36891,Janesville WI MSA,1068,rockford illinois msa
